Year,Pollutant,Location,Value
Barré et al. (2020),Europe (100 locations),Satellite + stations,Same period 2019,,,"+6.05 to -60.5",,
Bekbulat et al. (2021),USA (all states),Monitoring stations,2020 pre-COVID period,+3.0,,-30.0,,-4.0
Chen et al. (2020a),China (367 cities),Satellite data,Before quarantine,-18.9,,-12.9,,
Collivignarelli et al. (2020),Italy (Milan),Monitoring stations,Feb 7–20 2020,-47.1 to -59.4,-45.8 to -59.4,-58.6,-32 to -56.7,,+66.0
Dantas et al. (2020),Brazil (Rio de Janeiro),Monitoring stations,Same period 2019,,-28.7 to 19.4,-24.1 to -32.9,-37.0 to -43.6,,+22.5 to +63
Gautam (2020),China/India/Europe,Satellite data,Before lockdown,,,-30 to -70,,
Hudda et al. (2020),USA,Measurement campaign,,,-45 to -69 (BC),,,
Kanniah et al. (2020),SE Asia cities,Satellite + stations,,,-26 to -31,-34 to +25,-25 to -32,-9 to -20,+3 to +7
Mahato et al. (2020),India (Delhi),Monitoring stations,Pre-lockdown,-53.1 to -32.9,-56.6 to -51.9,-52.7,-30.4,-18.0,+0.78
Resmi et al. (2020),India (Kannur),Monitoring stations,Pre-lockdown,-53.0,-61.0,-71.0,-67.0,-62.0,+22.0
Sicard et al. (2020),Europe + China,Monitoring stations,2017–2019 baseline,+10.6 to -36.3,+1.8 to -48.7,-30.4 to -69.0,,,+2.4 to +36.4
Tobías et al. (2020),Spain (Barcelona),Stations + satellite,Pre-lockdown,,-31.0 to -27.8,-47.0 to -51.4,,-19.4 to +1.8,+28.5 to +57.7
Wang et al. (2020b),China (30 cities),Monitoring stations,Jan 2020 baseline,-21.0,-27.0,-54.0,-20.0,-16.0,+51.0
Zhu et al. (2020),Singapore,Stations + satellite,2016–2019 baseline,-29.0,-23.0,+54.0,-6.0,-52.0,+18.0


Station_Code,Location_Name,Direction_and_Locality,Distance_from_Core_km,Description
S1,Jharsuguda Town,"North, Town",20,"Town area"
S2,Brundamal,"North, Railway siding",12,"Railway platform is near to it"
S3,Thelkoli,"North, Industrial Area",6,"Iron and Steel industry near to this place"
S4,Village Tumbekela,"South, coal mines and residential Area",15,"M/S Talabira Coal mines of Hindalco operating near to it"
S5,Aditya Birla Aluminium Smelter Main Gate,"Core area",0,"Industrial area"
S6,Main Gate Shyam DRI plant,"South",5,"Shyam DRI steel and Power plant and other two small sponge Iron Plants"
S7,Rengali,"South-East, residential",10,"Small town area, Railway track is 1KM away"
S8,Sason Canal,"Residential Area and side of SH-10",15,"Two sponge iron plants and rice mills operating in this area"
S9,Seven Hills Residential School,"South-East, Residential",20,"No industries located, near SH-10"
S10,Aithapali, Sambalpur,"Market and commercial Area",25,"Commercial area located side of SH-10 and NH-6"


City,Station,Observations,PM10,PM2.5,SO2,NO2,NH3,O3,Annual_AQI,Category
Angul,SPCB Office Building Hakimpada,104,105,50,11.6,22.4,32.3,28.2,103,Satisfactory
Angul,NALCO Nagar,104,104,39,10.4,28.0,33.8,BDL,103,Satisfactory
Angul,Sikshyakapada,66,76,37,10.9,16.0,BDL,26.7,76,Satisfactory

Talcher,Talcher Thermal Township,104,109,43,10.8,26.7,34.7,BDL,106,Moderate
Talcher,MCL Bharatpur Guest House,104,115,39,10.6,28.8,27.9,BDL,110,Moderate
Talcher,Champapasi Village,74,102,50,13.7,18.8,33.7,30.8,101,Moderate

Balasore,SPCB Office Ganeswarpur,104,89,53,BDL,10.7,23.2,24.3,89,Satisfactory
Balasore,Oriplast OT Road,104,84,50,BDL,10.6,23.1,24.0,84,Satisfactory
Balasore,Balgopalpur Industrial Area,104,97,58,7.9,11.5,23.9,25.5,97,Satisfactory

Berhampur,SPCB Office Ankuli IE,102,87,48,BDL,15.9,32.2,28.3,87,Satisfactory

Kandhamal,G Udayagiri,73,59,23,4.8,13.9,NA,NA,59,Satisfactory
Kandhamal,Phulbani,74,42,23,5.1,15.5,NA,NA,42,Satisfactory

Bhubaneswar,Nilakanthanagar SPCB Office,100,100,46,BDL,16.6,69.3,27.6,100,Moderate
Bhubaneswar,IRC Village Nayapalli,98,92,36,BDL,14.6,39.2,26.8,92,Moderate
Bhubaneswar,Capital Police Station,104,109,43,BDL,16.8,43.7,27.3,106,Moderate
Bhubaneswar,Chandrasekharpur SPCB Office,105,110,46,BDL,16.4,45.6,28.0,107,Moderate
Bhubaneswar,Khandagiri Police Station,108,117,46,BDL,18.1,38.4,28.5,111,Moderate
Bhubaneswar,Palasuni Water Works,109,104,41,BDL,16.1,36.6,26.5,103,Moderate

Cuttack,Hotel Bishal Inn Badambadi,103,100,32,BDL,17.9,43.4,34.4,100,Moderate
Cuttack,SPCB Office Surya Vihar,104,112,37,5.1,20.8,46.8,40.0,108,Moderate
Cuttack,PHD Office Barabati,104,105,35,BDL,19.3,37.1,34.7,103,Moderate

Jharsuguda,SPCB Office Cox Colony,105,112,54,8.6,13.3,23.2,BDL,108,Moderate
